event_date,event_name,fighter1,fighter2,winner,round_,time,win_method_finish,win_method_type
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Dustin Poirier,Justin Gaethje,Dustin Poirier,4,0.33,30,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Carlos Condit,Alex Oliveira,Alex Oliveira,2,3.17,10,7
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Israel Adesanya,Marvin Vettori,Israel Adesanya,3,5.0,22,6
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Cortney Casey,Michelle Waterson,Michelle Waterson,3,5.0,22,6
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Antonio Carlos Junior,Tim Boetsch,Antonio Carlos Junior,1,4.28,32,7
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Ricky Rainey,Muslim Salikhov,Muslim Salikhov,2,4.12,30,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,John Moraga,Wilson Reis,John Moraga,3,5.0,22,8
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Krzysztof Jotko,Brad Tavares,Brad Tavares,3,2.16,30,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Gilbert Burns,Dan Moret,Gilbert Burns,2,0.59,30,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Shana Dobson,Lauren Mueller,Lauren Mueller,3,5.0,22,8
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Yushin Okami,Dhiego Lima,Yushin Okami,3,5.0,22,8
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Arjan Bhullar,Adam Wieczorek,Adam Wieczorek,2,1.59,25,7
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Alejandro Perez,Matthew Lopez,Alejandro Perez,2,3.42,31,2
April 14 2018,UFC Fight Night: Poirier vs. Gaethje,Patrick Williams,Luke Sanders,Luke Sanders,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Kevin Lee,Edson Barboza,Kevin Lee,5,2.18,22,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Cub Swanson,Frankie Edgar,Frankie Edgar,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Justin Willis,Chase Sherman,Justin Willis,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Thiago Santos,David Branch,David Branch,1,2.3,30,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Aljamain Sterling,Brett Johns,Aljamain Sterling,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Jim Miller,Dan Hooker,Dan Hooker,1,3.0,19,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Ryan LaFlare,Alex Garcia,Ryan LaFlare,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Merab Dvalishvili,Ricky Simon,Ricky Simon,3,5.0,22,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Siyar Bahadurzada,Luan Chagas,Siyar Bahadurzada,2,2.4,16,2
April 21 2018,UFC Fight Night: Barboza vs. Lee,Patrick Cummins,Corey Anderson,Corey Anderson,3,5.0,22,8
April 21 2018,UFC Fight Night: Barboza vs. Lee,Anthony Rocco Martin,Keita Nakamura,Anthony Rocco Martin,3,5.0,22,8
May 12 2018,UFC 224: Nunes vs. Pennington,Raquel Pennington,Amanda Nunes,Amanda Nunes,5,2.36,31,2
May 12 2018,UFC 224: Nunes vs. Pennington,Kelvin Gastelum,Jacare Souza,Kelvin Gastelum,3,5.0,22,6
May 12 2018,UFC 224: Nunes vs. Pennington,Amanda Cooper,Mackenzie Dern,Mackenzie Dern,1,2.27,32,7
May 12 2018,UFC 224: Nunes vs. Pennington,John Lineker,Brian Kelleher,John Lineker,3,3.43,30,2
May 12 2018,UFC 224: Nunes vs. Pennington,Vitor Belfort,Lyoto Machida,Lyoto Machida,2,1.0,16,2
May 12 2018,UFC 224: Nunes vs. Pennington,Cezar Ferreira,Karl Roberson,Cezar Ferreira,1,4.45,2,7
May 12 2018,UFC 224: Nunes vs. Pennington,Junior Albini,Aleksei Oleinik,Aleksei Oleinik,1,1.45,27,7
May 12 2018,UFC 224: Nunes vs. Pennington,Davi Ramos,Nick Hein,Davi Ramos,1,4.15,32,7
May 12 2018,UFC 224: Nunes vs. Pennington,Sean Strickland,Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,1,3.4,16,2
May 12 2018,UFC 224: Nunes vs. Pennington,Warlley Alves,Sultan Aliev,Warlley Alves,2,5.0,22,2
May 12 2018,UFC 224: Nunes vs. Pennington,Thales Leites,Jack Hermansson,Jack Hermansson,3,2.1,31,2
May 12 2018,UFC 224: Nunes vs. Pennington,Ramazan Emeev,Alberto Mina,Ramazan Emeev,3,5.0,22,8
May 12 2018,UFC 224: Nunes vs. Pennington,James Bochnovic,Markus Perez,Markus Perez,1,4.28,32,7
May 19 2018,UFC Fight Night: Maia vs. Usman,Kamaru Usman,Demian Maia,Kamaru Usman,5,5.0,22,8
May 19 2018,UFC Fight Night: Maia vs. Usman,Alexa Grasso,Tatiana Suarez,Tatiana Suarez,1,2.44,32,7
May 19 2018,UFC Fight Night: Maia vs. Usman,Dominick Reyes,Jared Cannonier,Dominick Reyes,1,2.55,30,2
May 19 2018,UFC Fight Night: Maia vs. Usman,Diego Rivas,Guido Cannetti,Guido Cannetti,3,5.0,22,8
May 19 2018,UFC Fight Night: Maia vs. Usman,Andrea Lee,Veronica Macedo,Andrea Lee,3,5.0,22,8
May 19 2018,UFC Fight Night: Maia vs. Usman,Chad Laprise,Vicente Luque,Vicente Luque,1,4.16,30,2
May 19 2018,UFC Fight Night: Maia vs. Usman,Michel Prazeres,Zak Cummings,Michel Prazeres,3,5.0,22,6
May 19 2018,UFC Fight Night: Maia vs. Usman,Brandon Moreno,Alexandre Pantoja,Alexandre Pantoja,3,5.0,22,8
May 19 2018,UFC Fight Night: Maia vs. Usman,Poliana Botelho,Syuri Kondo,Poliana Botelho,1,0.33,16,2
May 19 2018,UFC Fight Night: Maia vs. Usman,Humberto Bandenay,Gabriel Benitez,Gabriel Benitez,1,0.39,33,2
May 19 2018,UFC Fight Night: Maia vs. Usman,Enrique Barzola,Brandon Davis,Enrique Barzola,3,5.0,22,8
May 19 2018,UFC Fight Night: Maia vs. Usman,Henry Briones,Frankie Saenz,Frankie Saenz,3,5.0,22,8
May 19 2018,UFC Fight Night: Maia vs. Usman,Claudio Puelles,Felipe Silva,Claudio Puelles,3,2.23,20,7
May 27 2018,UFC Fight Night: Thompson vs. Till,Stephen Thompson,Darren Till,Darren Till,5,5.0,22,8
May 27 2018,UFC Fight Night: Thompson vs. Till,Neil Magny,Craig White,Neil Magny,1,4.32,19,2
May 27 2018,UFC Fight Night: Thompson vs. Till,Mads Burnell,Arnold Allen,Arnold Allen,3,2.41,27,7
May 27 2018,UFC Fight Night: Thompson vs. Till,Makwan Amirkhani,Jason Knight,Makwan Amirkhani,3,5.0,22,6
May 27 2018,UFC Fight Night: Thompson vs. Till,Nordine Taleb,Claudio Silva,Claudio Silva,1,4.31,32,7
May 27 2018,UFC Fight Night: Thompson vs. Till,Darren Stewart,Eric Spicely,Darren Stewart,2,1.47,30,2
May 27 2018,UFC Fight Night: Thompson vs. Till,Daniel Kelly,Tom Breese,Tom Breese,1,3.33,30,2
May 27 2018,UFC Fight Night: Thompson vs. Till,Lina Lansberg,Gina Mazany,Lina Lansberg,3,5.0,22,8
May 27 2018,UFC Fight Night: Thompson vs. Till,Bradley Scott,Carlo Pedersoli,Carlo Pedersoli,3,5.0,22,6
May 27 2018,UFC Fight Night: Thompson vs. Till,Gillian Robertson,Molly McCann,Gillian Robertson,2,2.05,32,7
May 27 2018,UFC Fight Night: Thompson vs. Till,Trevor Smith,Elias Theodorou,Elias Theodorou,3,5.0,22,8
June 01 2018,UFC Fight Night: Rivera vs. Moraes,Marlon Moraes,Jimmie Rivera,Marlon Moraes,1,0.33,16,2
June 01 2018,UFC Fight Night: Rivera vs. Moraes,Vinc Pichel,Gregor Gillespie,Gregor Gillespie,2,4.06,2,7
June 01 2018,UFC Fight Night: Rivera vs. Moraes,Walt Harris,Daniel Spitz,Walt Harris,2,4.59,31,2
June 01 2018,UFC Fight Night: Rivera vs. Moraes,Jake Ellenberger,Ben Saunders,Ben Saunders,1,1.56,19,2
June 01 2018,UFC Fight Night: Rivera vs. Moraes,Julio Arce,Daniel Teymur,Julio Arce,3,2.55,32,7
June 01 2018,UFC Fight Night: Rivera vs. Moraes,Gian Villante,Sam Alvey,Sam Alvey,3,5.0,22,6
June 01 2018,UFC Fight Night: Rivera vs. Moraes,Sijara Eubanks,Lauren Murphy,Sijara Eubanks,3,5.0,22,8
June 01 2018,UFC Fight Night: Rivera vs. Moraes,Nik Lentz,David Teymur,David Teymur,3,5.0,22,8
June 01 2018,UFC Fight Night: Rivera vs. Moraes,Belal Muhammad,Chance Rencountre,Belal Muhammad,3,5.0,22,8
June 01 2018,UFC Fight Night: Rivera vs. Moraes,Gleison Tibau,Desmond Green,Desmond Green,3,5.0,22,8
June 01 2018,UFC Fight Night: Rivera vs. Moraes,Nathaniel Wood,Johnny Eduardo,Nathaniel Wood,2,2.18,4,7
June 01 2018,UFC Fight Night: Rivera vs. Moraes,Jarred Brooks,Jose Torres,Jose Torres,2,2.55,31,2
June 09 2018,UFC 225: Whittaker vs. Romero 2,Robert Whittaker,Yoel Romero,Robert Whittaker,5,5.0,22,6
June 09 2018,UFC 225: Whittaker vs. Romero 2,Rafael Dos Anjos,Colby Covington,Colby Covington,5,5.0,22,8
June 09 2018,UFC 225: Whittaker vs. Romero 2,Holly Holm,Megan Anderson,Holly Holm,3,5.0,22,8
June 09 2018,UFC 225: Whittaker vs. Romero 2,Andrei Arlovski,Tai Tuivasa,Tai Tuivasa,3,5.0,22,8
June 09 2018,UFC 225: Whittaker vs. Romero 2,Mike Jackson,CM Punk,Mike Jackson,3,5.0,22,8
June 09 2018,UFC 225: Whittaker vs. Romero 2,Alistair Overeem,Curtis Blaydes,Curtis Blaydes,3,2.56,6,2
June 09 2018,UFC 225: Whittaker vs. Romero 2,Claudia Gadelha,Carla Esparza,Claudia Gadelha,3,5.0,22,6
June 09 2018,UFC 225: Whittaker vs. Romero 2,Ricardo Lamas,Mirsad Bektic,Mirsad Bektic,3,5.0,22,6
June 09 2018,UFC 225: Whittaker vs. Romero 2,Chris de la Rocha,Rashad Coulter,Chris de la Rocha,2,3.53,31,2
June 09 2018,UFC 225: Whittaker vs. Romero 2,Rashad Evans,Anthony Smith,Anthony Smith,1,0.53,19,2
June 09 2018,UFC 225: Whittaker vs. Romero 2,Sergio Pettis,Joseph Benavidez,Sergio Pettis,3,5.0,22,6
June 09 2018,UFC 225: Whittaker vs. Romero 2,Clay Guida,Charles Oliveira,Charles Oliveira,1,2.18,10,7
June 09 2018,UFC 225: Whittaker vs. Romero 2,Dan Ige,Mike Santiago,Dan Ige,1,0.5,31,2
June 23 2018,UFC Fight Night: Cowboy vs. Edwards,Donald Cerrone,Leon Edwards,Leon Edwards,5,5.0,22,8
June 23 2018,UFC Fight Night: Cowboy vs. Edwards,Ovince Saint Preux,Tyson Pedro,Ovince Saint Preux,1,2.54,3,7
June 23 2018,UFC Fight Night: Cowboy vs. Edwards,Jessica-Rose Clark,Jessica Eye,Jessica Eye,3,5.0,22,8
June 23 2018,UFC Fight Night: Cowboy vs. Edwards,Jingliang Li,Daichi Abe,Jingliang Li,3,5.0,22,8
June 23 2018,UFC Fight Night: Cowboy vs. Edwards,Teruto Ishihara,Petr Yan,Petr Yan,1,3.28,30,2
June 23 2018,UFC Fight Night: Cowboy vs. Edwards,Song Yadong,Felipe Arantes,Song Yadong,2,4.59,5,2
June 23 2018,UFC Fight Night: Cowboy vs. Edwards,Rolando Dy,Shane Young,Shane Young,2,4.4,5,2
June 23 2018,UFC Fight Night: Cowboy vs. Edwards,Kenan Song,Hector Aldana,Kenan Song,2,4.45,30,2
June 23 2018,UFC Fight Night: Cowboy vs. Edwards,Shinsho Anzai,Jake Matthews,Jake Matthews,1,2.44,32,7
June 23 2018,UFC Fight Night: Cowboy vs. Edwards,Xiaonan Yan,Viviane Pereira,Xiaonan Yan,3,5.0,22,8
June 23 2018,UFC Fight Night: Cowboy vs. Edwards,Naoki Inoue,Matt Schnell,Matt Schnell,3,5.0,22,6
June 23 2018,UFC Fight Night: Cowboy vs. Edwards,Ulka Sasaki,Jenel Lausa,Ulka Sasaki,2,4.04,32,7
June 23 2018,UFC Fight Night: Cowboy vs. Edwards,Melinda Fabian,Ji Yeon Kim,Ji Yeon Kim,3,5.0,22,6
July 06 2018,UFC - TUF 27 Finale,Israel Adesanya,Brad Tavares,Israel Adesanya,5,5.0,22,8
July 06 2018,UFC - TUF 27 Finale,Joe Giannetti,Michael Trizano,Michael Trizano,3,5.0,22,6
July 06 2018,UFC - TUF 27 Finale,Brad Katona,Jay Cucciniello,Brad Katona,3,5.0,22,8
July 06 2018,UFC - TUF 27 Finale,Martin Bravo,Alex Caceres,Alex Caceres,3,5.0,22,6
July 06 2018,UFC - TUF 27 Finale,Roxanne Modafferi,Barb Honchak,Roxanne Modafferi,2,3.32,6,2
July 06 2018,UFC - TUF 27 Finale,Julian Marquez,Alessio Di Chirico,Alessio Di Chirico,3,5.0,22,6
July 06 2018,UFC - TUF 27 Finale,Montana De La Rosa,Rachael Ostovich,Montana De La Rosa,3,4.21,32,7
July 06 2018,UFC - TUF 27 Finale,Richie Smullen,Luis Pena,Luis Pena,1,3.32,10,7
July 06 2018,UFC - TUF 27 Finale,John Gunther,Allan Zuniga,John Gunther,3,5.0,22,3
July 06 2018,UFC - TUF 27 Finale,Tyler Diamond,Bryce Mitchell,Bryce Mitchell,3,5.0,22,3
July 06 2018,UFC - TUF 27 Finale,Steven Peterson,Matt Bessette,Steven Peterson,3,5.0,22,6
July 06 2018,UFC - TUF 27 Finale,Oskar Piechota,Gerald Meerschaert,Gerald Meerschaert,2,4.55,32,7
July 07 2018,UFC 226: Miocic vs. Cormier,Daniel Cormier,Stipe Miocic,Daniel Cormier,1,4.33,31,2
July 07 2018,UFC 226: Miocic vs. Cormier,Francis Ngannou,Derrick Lewis,Derrick Lewis,3,5.0,22,8
July 07 2018,UFC 226: Miocic vs. Cormier,Mike Perry,Paul Felder,Mike Perry,3,5.0,22,6
July 07 2018,UFC 226: Miocic vs. Cormier,Michael Chiesa,Anthony Pettis,Anthony Pettis,2,0.52,37,7
July 07 2018,UFC 226: Miocic vs. Cormier,Khalil Rountree Jr.,Gokhan Saki,Khalil Rountree Jr.,1,1.36,31,2
July 07 2018,UFC 226: Miocic vs. Cormier,Uriah Hall,Paulo Costa,Paulo Costa,2,2.38,31,2
July 07 2018,UFC 226: Miocic vs. Cormier,Raphael Assuncao,Rob Font,Raphael Assuncao,3,5.0,22,8
July 07 2018,UFC 226: Miocic vs. Cormier,Lando Vannata,Drakkar Klose,Drakkar Klose,3,5.0,22,8
July 07 2018,UFC 226: Miocic vs. Cormier,Curtis Millender,Max Griffin,Curtis Millender,3,5.0,22,8
July 07 2018,UFC 226: Miocic vs. Cormier,Gilbert Burns,Dan Hooker,Dan Hooker,1,2.28,31,2
July 07 2018,UFC 226: Miocic vs. Cormier,Emily Whitmire,Jamie Moyle,Emily Whitmire,3,5.0,22,8
July 14 2018,UFC Fight Night: Dos Santos vs. Ivanov,Blagoy Ivanov,Junior Dos Santos,Junior Dos Santos,5,5.0,22,8
July 14 2018,UFC Fight Night: Dos Santos vs. Ivanov,Sage Northcutt,Zak Ottow,Sage Northcutt,2,3.13,30,2
July 14 2018,UFC Fight Night: Dos Santos vs. Ivanov,Dennis Bermudez,Rick Glenn,Rick Glenn,3,5.0,22,6
July 14 2018,UFC Fight Night: Dos Santos vs. Ivanov,Niko Price,Randy Brown,Niko Price,2,1.09,30,2
July 14 2018,UFC Fight Night: Dos Santos vs. Ivanov,Myles Jury,Chad Mendes,Chad Mendes,1,2.52,30,2
July 14 2018,UFC Fight Night: Dos Santos vs. Ivanov,Cat Zingano,Marion Reneau,Cat Zingano,3,5.0,22,8
July 14 2018,UFC Fight Night: Dos Santos vs. Ivanov,Eddie Wineland,Alejandro Perez,Alejandro Perez,3,5.0,22,8
July 14 2018,UFC Fight Night: Dos Santos vs. Ivanov,Alexander Volkanovski,Darren Elkins,Alexander Volkanovski,3,5.0,22,8
July 14 2018,UFC Fight Night: Dos Santos vs. Ivanov,Justin Scoggins,Said Nurmagomedov,Said Nurmagomedov,3,5.0,22,6
July 14 2018,UFC Fight Night: Dos Santos vs. Ivanov,Raoni Barcelos,Kurt Holobaugh,Raoni Barcelos,3,1.29,30,2
July 14 2018,UFC Fight Night: Dos Santos vs. Ivanov,Jennifer Maia,Liz Carmouche,Liz Carmouche,3,5.0,22,8
July 14 2018,UFC Fight Night: Dos Santos vs. Ivanov,Mark De La Rosa,Elias Garcia,Mark De La Rosa,2,2.0,32,7
July 14 2018,UFC Fight Night: Dos Santos vs. Ivanov,Jodie Esquibel,Jessica Aguilar,Jessica Aguilar,3,5.0,22,8
July 22 2018,UFC Fight Night: Shogun vs. Smith,Anthony Smith,Mauricio Rua,Anthony Smith,1,1.29,31,2
July 22 2018,UFC Fight Night: Shogun vs. Smith,Glover Teixeira,Corey Anderson,Corey Anderson,3,5.0,22,8
July 22 2018,UFC Fight Night: Shogun vs. Smith,Abu Azaitar,Vitor Miranda,Abu Azaitar,3,5.0,22,8
July 22 2018,UFC Fight Night: Shogun vs. Smith,Stefan Struve,Marcin Tybura,Marcin Tybura,3,5.0,22,8
July 22 2018,UFC Fight Night: Shogun vs. Smith,Danny Roberts,David Zawada,Danny Roberts,3,5.0,22,6
July 22 2018,UFC Fight Night: Shogun vs. Smith,Marc Diakiese,Nasrat Haqparast,Nasrat Haqparast,3,5.0,22,8
July 22 2018,UFC Fight Night: Shogun vs. Smith,Damir Hadzovic,Nick Hein,Damir Hadzovic,3,5.0,22,6
July 22 2018,UFC Fight Night: Shogun vs. Smith,Emil Meek,Bartosz Fabinski,Bartosz Fabinski,3,5.0,22,8
July 22 2018,UFC Fight Night: Shogun vs. Smith,Nad Narimani,Khalid Taha,Nad Narimani,3,5.0,22,8
July 22 2018,UFC Fight Night: Shogun vs. Smith,Justin Ledet,Aleksandar Rakic,Aleksandar Rakic,3,5.0,22,8
July 22 2018,UFC Fight Night: Shogun vs. Smith,Manny Bermudez,Davey Grant,Manny Bermudez,1,0.59,37,7
July 22 2018,UFC Fight Night: Shogun vs. Smith,Jeremy Kimball,Darko Stosic,Darko Stosic,1,3.13,6,2
July 22 2018,UFC Fight Night: Shogun vs. Smith,Liu Pingyuan,Damian Stasiak,Liu Pingyuan,3,5.0,22,8
July 28 2018,UFC Fight Night: Alvarez vs. Poirier 2,Eddie Alvarez,Dustin Poirier,Dustin Poirier,2,4.05,31,2
July 28 2018,UFC Fight Night: Alvarez vs. Poirier 2,Jose Aldo,Jeremy Stephens,Jose Aldo,1,4.19,31,2
July 28 2018,UFC Fight Night: Alvarez vs. Poirier 2,Tecia Torres,Joanna Jedrzejczyk,Joanna Jedrzejczyk,3,5.0,22,8
July 28 2018,UFC Fight Night: Alvarez vs. Poirier 2,Alexander Hernandez,Olivier Aubin-Mercier,Alexander Hernandez,3,5.0,22,8
July 28 2018,UFC Fight Night: Alvarez vs. Poirier 2,Alex Morono,Jordan Mein,Jordan Mein,3,5.0,22,8
July 28 2018,UFC Fight Night: Alvarez vs. Poirier 2,Hakeem Dawodu,Austin Arnett,Hakeem Dawodu,3,5.0,22,8
July 28 2018,UFC Fight Night: Alvarez vs. Poirier 2,Kajan Johnson,Islam Makhachev,Islam Makhachev,1,4.43,3,7
July 28 2018,UFC Fight Night: Alvarez vs. Poirier 2,Ion Cutelaba,Gadzhimurad Antigulov,Ion Cutelaba,1,4.25,6,2
July 28 2018,UFC Fight Night: Alvarez vs. Poirier 2,Ross Pearson,John Makdessi,John Makdessi,3,5.0,22,8
July 28 2018,UFC Fight Night: Alvarez vs. Poirier 2,Katlyn Chookagian,Alexis Davis,Katlyn Chookagian,3,5.0,22,8
July 28 2018,UFC Fight Night: Alvarez vs. Poirier 2,Matheus Nicolau,Dustin Ortiz,Dustin Ortiz,1,3.49,16,2
July 28 2018,UFC Fight Night: Alvarez vs. Poirier 2,Nina Ansaroff,Randa Markos,Nina Ansaroff,3,5.0,22,8
July 28 2018,UFC Fight Night: Alvarez vs. Poirier 2,Alvaro Herrera,Devin Powell,Devin Powell,1,1.52,17,2
August 04 2018,UFC 227: Dillashaw vs. Garbrandt 2,TJ Dillashaw,Cody Garbrandt,TJ Dillashaw,1,4.1,31,2
August 04 2018,UFC 227: Dillashaw vs. Garbrandt 2,Demetrious Johnson,Henry Cejudo,Henry Cejudo,5,5.0,22,6
August 04 2018,UFC 227: Dillashaw vs. Garbrandt 2,Renato Moicano,Cub Swanson,Renato Moicano,1,4.15,32,7
August 04 2018,UFC 227: Dillashaw vs. Garbrandt 2,Polyana Viana,JJ Aldrich,JJ Aldrich,3,5.0,22,8
August 04 2018,UFC 227: Dillashaw vs. Garbrandt 2,Thiago Santos,Kevin Holland,Thiago Santos,3,5.0,22,8
August 04 2018,UFC 227: Dillashaw vs. Garbrandt 2,Brett Johns,Pedro Munhoz,Pedro Munhoz,3,5.0,22,8
August 04 2018,UFC 227: Dillashaw vs. Garbrandt 2,Ricky Simon,Montel Jackson,Ricky Simon,3,5.0,22,8
August 04 2018,UFC 227: Dillashaw vs. Garbrandt 2,Kyung Ho Kang,Ricardo Ramos,Ricardo Ramos,3,5.0,22,6
August 04 2018,UFC 227: Dillashaw vs. Garbrandt 2,Sheymon Moraes,Matt Sayles,Sheymon Moraes,3,5.0,22,8
August 04 2018,UFC 227: Dillashaw vs. Garbrandt 2,Jose Torres,Alex Perez,Alex Perez,1,3.46,31,2
August 04 2018,UFC 227: Dillashaw vs. Garbrandt 2,Weili Zhang,Danielle Taylor,Weili Zhang,3,5.0,22,8
August 04 2018,UFC 227: Dillashaw vs. Garbrandt 2,Wuliji Buren,Marlon Vera,Marlon Vera,2,4.53,30,2
August 25 2018,UFC Fight Night: Gaethje vs. Vick,Justin Gaethje,James Vick,Justin Gaethje,1,1.27,30,2
August 25 2018,UFC Fight Night: Gaethje vs. Vick,Andre Fili,Michael Johnson,Michael Johnson,3,5.0,22,6
August 25 2018,UFC Fight Night: Gaethje vs. Vick,Cortney Casey,Angela Hill,Cortney Casey,3,5.0,22,6
August 25 2018,UFC Fight Night: Gaethje vs. Vick,Jake Ellenberger,Bryan Barberena,Bryan Barberena,1,2.26,30,2
August 25 2018,UFC Fight Night: Gaethje vs. Vick,Deiveson Figueiredo,John Moraga,Deiveson Figueiredo,2,3.08,30,2
August 25 2018,UFC Fight Night: Gaethje vs. Vick,Tim Williams,Eryk Anders,Eryk Anders,3,4.42,16,2
August 25 2018,UFC Fight Night: Gaethje vs. Vick,James Krause,Warlley Alves,James Krause,2,2.28,7,2
August 25 2018,UFC Fight Night: Gaethje vs. Vick,Iuri Alcantara,Cory Sandhagen,Cory Sandhagen,2,1.01,31,2
August 25 2018,UFC Fight Night: Gaethje vs. Vick,Andrew Sanchez,Markus Perez,Andrew Sanchez,3,5.0,22,8
August 25 2018,UFC Fight Night: Gaethje vs. Vick,George Sullivan,Mickey Gall,Mickey Gall,1,1.09,32,7
August 25 2018,UFC Fight Night: Gaethje vs. Vick,Joanne Calderwood,Kalindra Faria,Joanne Calderwood,1,4.57,3,7
August 25 2018,UFC Fight Night: Gaethje vs. Vick,Jon Tuck,Drew Dober,Drew Dober,3,5.0,22,8
August 25 2018,UFC Fight Night: Gaethje vs. Vick,Rani Yahya,Luke Sanders,Rani Yahya,1,1.31,13,7
November 12 1993,UFC 1: The Beginning,Gerard Gordeau,Royce Gracie,Royce Gracie,1,1.44,32,7
November 12 1993,UFC 1: The Beginning,Jason DeLucia,Trent Jenkins,Jason DeLucia,1,0.52,32,7
November 12 1993,UFC 1: The Beginning,Ken Shamrock,Royce Gracie,Royce Gracie,1,0.57,32,7
November 12 1993,UFC 1: The Beginning,Gerard Gordeau,Kevin Rosier,Gerard Gordeau,1,0.59,22,2
November 12 1993,UFC 1: The Beginning,Patrick Smith,Ken Shamrock,Ken Shamrock,1,1.49,13,7
November 12 1993,UFC 1: The Beginning,Royce Gracie,Art Jimmerson,Royce Gracie,1,2.18,26,7
November 12 1993,UFC 1: The Beginning,Zane Frazier,Kevin Rosier,Kevin Rosier,1,4.2,22,2
November 12 1993,UFC 1: The Beginning,Gerard Gordeau,Teila Tuli,Gerard Gordeau,1,0.26,16,2
March 11 1994,UFC 2: No Way Out,Patrick Smith,Royce Gracie,Royce Gracie,1,1.17,31,2
March 11 1994,UFC 2: No Way Out,Royce Gracie,Remco Pardoel,Royce Gracie,1,1.31,9,7
March 11 1994,UFC 2: No Way Out,Johnny Rhodes,Patrick Smith,Patrick Smith,1,1.07,10,7
March 11 1994,UFC 2: No Way Out,Royce Gracie,Jason DeLucia,Royce Gracie,1,1.07,3,7
March 11 1994,UFC 2: No Way Out,Orlando Wiet,Remco Pardoel,Remco Pardoel,1,1.29,6,2
March 11 1994,UFC 2: No Way Out,Johnny Rhodes,Fred Ettish,Johnny Rhodes,1,3.07,27,7
March 11 1994,UFC 2: No Way Out,Scott Morris,Patrick Smith,Patrick Smith,1,0.3,6,2
March 11 1994,UFC 2: No Way Out,Royce Gracie,Minoki Ichihara,Royce Gracie,1,5.08,3,7
March 11 1994,UFC 2: No Way Out,Scott Baker,Jason DeLucia,Jason DeLucia,1,6.41,37,7
March 11 1994,UFC 2: No Way Out,Remco Pardoel,Alberta Cerra Leon,Remco Pardoel,1,9.51,27,7
March 11 1994,UFC 2: No Way Out,Robert Lucarelli,Orlando Wiet,Orlando Wiet,1,2.5,22,2
March 11 1994,UFC 2: No Way Out,Frank Hamaker,Thaddeus Luster,Frank Hamaker,1,4.52,15,7
March 11 1994,UFC 2: No Way Out,David Levicki,Johnny Rhodes,Johnny Rhodes,1,12.13,31,2
March 11 1994,UFC 2: No Way Out,Patrick Smith,Ray Wizard,Patrick Smith,1,0.58,10,7
March 11 1994,UFC 2: No Way Out,Sean Daugherty,Scott Morris,Scott Morris,1,0.2,10,7
December 16 1994,UFC 4: Revenge of the Warriors,Royce Gracie,Dan Severn,Royce Gracie,1,15.49,37,7
December 16 1994,UFC 4: Revenge of the Warriors,Marcus Bossett,Dan Severn,Dan Severn,1,0.52,2,7
December 16 1994,UFC 4: Revenge of the Warriors,Royce Gracie,Keith Hackney,Royce Gracie,1,5.32,3,7
December 16 1994,UFC 4: Revenge of the Warriors,Anthony Macias,Dan Severn,Dan Severn,1,1.45,32,7
December 16 1994,UFC 4: Revenge of the Warriors,Steve Jennum,Melton Bowen,Steve Jennum,1,4.47,3,7
December 16 1994,UFC 4: Revenge of the Warriors,Joe Son,Keith Hackney,Keith Hackney,1,2.44,27,7
December 16 1994,UFC 4: Revenge of the Warriors,Royce Gracie,Ron van Clief,Royce Gracie,1,3.49,32,7
December 16 1994,UFC 4: Revenge of the Warriors,Jason Fairn,Guy Mezger,Guy Mezger,1,2.13,22,2
April 07 1995,UFC 5: The Return of the Beast,Dan Severn,Dave Beneteau,Dan Severn,1,3.01,15,7
April 07 1995,UFC 5: The Return of the Beast,Royce Gracie,Ken Shamrock,Ken Shamrock,2,5.0,22,4
April 07 1995,UFC 5: The Return of the Beast,Dan Severn,Oleg Taktarov,Dan Severn,1,4.21,22,2
April 07 1995,UFC 5: The Return of the Beast,Todd Medina,Dave Beneteau,Dave Beneteau,1,2.12,31,2
April 07 1995,UFC 5: The Return of the Beast,Dan Severn,Joe Charles,Dan Severn,1,1.38,32,7
